# Electric potential (V)/(m) (d/dy)  
           6           2           0  0.939888816682100     
           7           2           0  0.368131652523439     
           8           2           0  2.455001505907209E-002
           9           2           0 -0.164814267983546     
          10           2           0   1.33527279115966     
          11           2           0   4.00810114961932     
          12           2           0   5.21654635262442     
          13           2           0   5.72556079301369     
          14           2           0   6.12367296803276     
          15           2           0   6.61029147466257     
          16           2           0   7.17950200549363     
          17           2           0   7.27621039397919     
          18           2           0   7.15627822845421     
          19           2           0   6.79612588253894     
          20           2           0   5.85255985039957     
          21           2           0   5.19232587635206     
          22           2           0   4.45091186768480     
          23           2           0   3.43070255970008     
          24           2           0   32.2287333460978     
          25           2           0   34.7399559883517     
          26           2           0   41.3592406347884     
          27           2           0   49.6344212281693     
          28           2           0   56.2154080247085     
          29           2           0   59.0278600917066     
          30           2           0   59.1944906386161     
          31           2           0   57.7624980424362     
          32           2           0   55.3704725223839     
          33           2           0   51.9750323943827     
          34           2           0   49.1521350046801     
          35           2           0   44.7816439493515     
          36           2           0   41.1683686985830     
          37           2           0   37.3931673100692     
          38           2           0   33.2299551241521     
          39           2           0   27.7578300357718     
          40           2           0   23.0761823139066     
          41           2           0   18.3745570340689     
          42           2           0   14.4374932785691     
          43           2           0   9.77906684617170     
          44           2           0   2.46304405665184     
          45           2           0  -6.29654620096130     
          46           2           0  -16.6600978785168     
          47           2           0  -26.7063839226193     
          48           2           0  -34.5966803757382     
          49           2           0  -41.6458028498637     
          50           2           0  -42.7565454301967     
          51           2           0  -42.5703832003272     
          52           2           0  -42.3875056128738     
          53           2           0  -40.2630094898765     
          54           2           0  -36.9998125204647     
          55           2           0  -34.9605107705526     
          56           2           0  -33.4016887978823     
          57           2           0  -32.3249773638072     
          58           2           0  -31.4168363818073     
          59           2           0  -28.1532340188530     
          60           2           0  -27.3164361548027     
          61           2           0  -21.6273722497189     
          62           2           0  -13.4930480480789     
          63           2           0  -3.97689208969459     
          64           2           0   6.16510004990927     
          65           2           0   17.0647733076228     
          66           2           0   26.2127236474012     
          67           2           0   32.2477737886412     
          68           2           0   35.1123464913981     
          69           2           0   34.4191330682046     
          70           2           0   32.1933692895008     
          71           2           0   31.6467428457698     
          72           2           0   3.68610664757486     
          73           2           0   5.71384749136366     
          74           2           0   6.83963279366307     
          75           2           0   7.73372136341075     
          76           2           0   7.79863011552091     
          77           2           0   6.82816884537426     
          78           2           0   6.81937529567710     
          79           2           0   7.40130439030344     
          80           2           0   7.53318573982487     
          81           2           0   7.59519244792930     
          82           2           0   7.67874961728739     
          83           2           0   7.67875007230545     
          84           2           0   7.58680602133398     
          85           2           0   7.45235093742332     
          86           2           0   7.23776991806231     
          87           2           0   6.96596656999033     
          88           2           0   6.76051650646942     
          89           2           0   6.69664936734060     
          90           2           0   6.63556664388731     
          91           2           0   6.60578543890287     
          92           2           0   6.54407572251027     
          93           2           0   6.29260083273612     
          94           2           0   5.82738644843811     
          95           2           0   4.31261038866953     
          96           2           0   3.99996341123678     
          -1           3           0  -3.84854013960807     
           0           3           0  -3.19967346577176     
           1           3           0  -2.06940920057027     
           2           3           0   2.11976924654052     
           3           3           0   3.53308441906840     
           4           3           0   4.05741407906355     
           5           3           0   3.82499740622245     
           6           3           0   3.20931008400069     
           7           3           0   2.50239950822194     
           8           3           0   1.67456301278448     
           9           3           0   1.33944479738653     
          10           3           0   1.28030385195136     
          11           3           0   1.38068846670897     
          12           3           0   1.59060247729343     
          13           3           0   1.82905472993393     
          14           3           0   2.11946329825531     
          15           3           0   2.53076657690923     
          16           3           0   2.26441412943258     
          17           3           0   1.34154303443451     
          18           3           0   1.08461175791541     
          19           3           0   3.00645817614700     
          20           3           0   6.39039489498974     
          21           3           0   8.30585037929949     
          22           3           0   9.02046016910582     
          23           3           0   9.06299317942884     
          24           3           0   27.6929471064603     
          25           3           0   30.2056002380733     
          26           3           0   36.8564785269507     
          27           3           0   46.0730469653180     
          28           3           0   54.7156537841244     
          29           3           0   61.4090625293744     
          30           3           0   65.8785359812212     
          31           3           0   67.7490809135511     
          32           3           0   67.3484725693967     
          33           3           0   64.1627940732292     
          34           3           0   59.6426898365294     
          35           3           0   53.9309944589986     
          36           3           0   47.4440472129864     
          37           3           0   40.2713475656924     
          38           3           0   33.2721549461707     
          39           3           0   26.4275679234903     
          40           3           0   21.0710984824097     
          41           3           0   16.8583344316123     
          42           3           0   14.1808087235293     
          43           3           0   10.2558036633960     
          44           3           0   4.98441972972008     
          45           3           0  -2.17019420137388     
          46           3           0  -13.0273579402265     
          47           3           0  -23.8756418410824     
          48           3           0  -33.4405926962402     
          49           3           0  -40.2927427551388     
          50           3           0  -44.2218392627939     
          51           3           0  -47.2512021668861     
          52           3           0  -48.1102533542206     
          53           3           0  -44.3805502892249     
          54           3           0  -41.6774672003281     
          55           3           0  -39.3096741504354     
          56           3           0  -37.7544956738599     
          57           3           0  -38.1103497031107     
          58           3           0  -37.0754774002924     
          59           3           0  -33.5045803810665     
          60           3           0  -30.2939673796176     
          61           3           0  -24.2036793814538     
          62           3           0  -14.0390861407280     
          63           3           0  -1.80273166803954     
          64           3           0   9.68812118153419     
          65           3           0   21.7135620626528     
          66           3           0   30.5046891045132     
          67           3           0   34.4687657938747     
          68           3           0   34.3911827626152     
          69           3           0   30.9273094732740     
          70           3           0   27.7912646772411     
          71           3           0   27.0791914982544     
          72           3           0   8.64794122458439     
          73           3           0   7.90020351262890     
          74           3           0   7.44542026047217     
          75           3           0   8.37940768156564     
          76           3           0   9.35023298356716     
          77           3           0   9.65584665914148     
          78           3           0   10.4660352177001     
          79           3           0   10.9114103307838     
          80           3           0   10.8489537846588     
          81           3           0   10.5818688143271     
          82           3           0   10.5354411357382     
          83           3           0   10.4060706604550     
          84           3           0   10.1033787990746     
          85           3           0   9.59921324104972     
          86           3           0   8.63411242728344     
          87           3           0   7.15712952819169     
          88           3           0   6.06173739784050     
          89           3           0   7.94840305600968     
          90           3           0   8.76767168782993     
          91           3           0   9.52672830833108     
          92           3           0   10.0976581492081     
          93           3           0   10.5741751529002     
          94           3           0   10.8800610635224     
          95           3           0   11.1736519465255     
          96           3           0   10.0841196628483     
          -1           4           0   2.84501201603974     
           0           4           0   2.67666321927119     
           1           4           0   4.82445226116442     
           2           4           0   5.66618126130634     
           3           4           0   5.81975682388116     
           4           4           0   5.69965303164041     
           5           4           0   5.45967982810713     
           6           4           0   5.11874241717431     
           7           4           0   4.64109547373569     
           8           4           0   4.02350388562359     
           9           4           0   3.22090541793922     
          10           4           0   1.34326863699458     
          11           4           0  0.977550711340122     
          12           4           0   3.50956742591852     
          13           4           0   4.57507133081664     
          14           4           0   4.28603601832315     
          15           4           0   3.10434411276223     
          16           4           0   1.47405919165799     
          17           4           0  0.203733744984561     
          18           4           0   1.33476593464178     
          19           4           0   4.74795411689159     
          20           4           0   7.99981517857221     
          21           4           0   10.8097414285512     
          22           4           0   13.8868867196215     
          23           4           0   15.3870207266329     
          24           4           0   26.5824960110407     
          25           4           0   29.3166785083434     
          26           4           0   35.8128495014196     
          27           4           0   43.9690555212732     
          28           4           0   51.5027764538855     
          29           4           0   57.8477451957107     
          30           4           0   62.0616487499582     
          31           4           0   63.1322102000900     
          32           4           0   62.4814303012451     
          33           4           0   58.9713641496432     
          34           4           0   53.8269569788742     
          35           4           0   47.7506991947678     
          36           4           0   40.4402896225012     
          37           4           0   33.3398539385812     
          38           4           0   26.6775051613633     
          39           4           0   20.7444926296895     
          40           4           0   15.8490900896819     
          41           4           0   12.2197676253557     
          42           4           0   9.53695891088426     
          43           4           0   5.34123550497046     
          44           4           0  0.556306858972524     
          45           4           0  -6.27074232675092     
          46           4           0  -15.4997835418004     
          47           4           0  -24.8548605512754     
          48           4           0  -34.0976592015278     
          49           4           0  -39.8789294086282     
          50           4           0  -43.9067319822050     
          51           4           0  -45.5149893131550     
          52           4           0  -44.6603252342371     
          53           4           0  -41.9516760082284     
          54           4           0  -39.6591293211907     
          55           4           0  -37.5672584732324     
          56           4           0  -34.7880257573362     
          57           4           0  -34.0497489878456     
          58           4           0  -32.1707076622342     
          59           4           0  -30.3473252909791     
          60           4           0  -26.4287753633008     
          61           4           0  -19.8131530957747     
          62           4           0  -10.3630614742953     
          63           4           0   2.14136063753977     
          64           4           0   15.1183599112945     
          65           4           0   25.1012073850737     
          66           4           0   33.7388741328475     
          67           4           0   37.6690493415419     
          68           4           0   36.4005667460417     
          69           4           0   30.8423027956265     
          70           4           0   26.8859949859279     
          71           4           0   25.8494269431444     
          72           4           0   15.5834162475297     
          73           4           0   13.9546655880953     
          74           4           0   13.3029243695489     
          75           4           0   13.5991615668645     
          76           4           0   14.5209905863898     
          77           4           0   16.0769036336260     
          78           4           0   17.4825921108585     
          79           4           0   18.2561692835521     
          80           4           0   18.3419118922941     
          81           4           0   18.2788748045974     
          82           4           0   18.3631889447052     
          83           4           0   18.5117632537805     
          84           4           0   18.8414849399990     
          85           4           0   19.1475326634635     
          86           4           0   19.4088227053396     
          87           4           0   19.5854197119428     
          88           4           0   19.5998504779398     
          89           4           0   19.4431102911596     
          90           4           0   19.1956821675081     
          91           4           0   18.8599525988536     
          92           4           0   18.4235416125879     
          93           4           0   17.7918253291139     
          94           4           0   16.9308139181974     
          95           4           0   14.5473028773304     
          96           4           0   14.7219167466094     
          -1           5           0   13.6253826543323     
           0           5           0   12.8711178909861     
           1           5           0   15.6070344578007     
           2           5           0   13.7926122701404     
           3           5           0   13.0253461819025     
           4           5           0   12.7500533422935     
           5           5           0   14.7070900238080     
           6           5           0   17.9051246160108     
           7           5           0   19.1441111839248     
           8           5           0   19.3803202986220     
           9           5           0   19.2816688745406     
          10           5           0   19.0776095702412     
          11           5           0   18.8318529705727     
          12           5           0   18.5906349149745     
          13           5           0   18.3457927715028     
          14           5           0   18.0107034066408     
          15           5           0   17.5134458782024     
          16           5           0   16.8657027166051     
          17           5           0   16.9712138932780     
          18           5           0   17.5322144876590     
          19           5           0   16.3627958972218     
          20           5           0   16.1364969745561     
          21           5           0   18.1771272875245     
          22           5           0   19.0712188875487     
          23           5           0   19.1473932611357     
          24           5           0   28.2932217437531     
          25           5           0   31.2521720731162     
          26           5           0   37.6801851232411     
          27           5           0   45.0105812300251     
          28           5           0   51.1215648152041     
          29           5           0   55.4792740179476     
          30           5           0   56.9206230551099     
          31           5           0   56.2705160385921     
          32           5           0   53.8508487099172     
          33           5           0   49.9331647350851     
          34           5           0   44.1526409228022     
          35           5           0   37.9493873211470     
          36           5           0   31.2314221456890     
          37           5           0   25.5929804749228     
          38           5           0   19.4627372580627     
          39           5           0   14.3745302526807     
          40           5           0   10.3439893022900     
          41           5           0   7.39403565752307     
          42           5           0   4.69266204833446     
          43           5           0  0.711370989501909     
          44           5           0  -4.83907258724126     
          45           5           0  -12.3191062665614     
          46           5           0  -19.2214675780700     
          47           5           0  -25.8428738464300     
          48           5           0  -33.5356060214005     
          49           5           0  -38.2291865879976     
          50           5           0  -41.3146156289390     
          51           5           0  -42.1097824064481     
          52           5           0  -40.5569825745087     
          53           5           0  -39.6477480709214     
          54           5           0  -36.9445490066775     
          55           5           0  -34.9837573500114     
          56           5           0  -31.6958275238584     
          57           5           0  -29.6219877181542     
          58           5           0  -28.1551885270644     
          59           5           0  -26.6346579251266     
          60           5           0  -22.5450039830756     
          61           5           0  -15.6534989836590     
          62           5           0  -8.09487189548213     
          63           5           0   4.30046040255228     
          64           5           0   17.5999420443753     
          65           5           0   27.3715835532316     
          66           5           0   35.8440317722923     
          67           5           0   41.4058935343787     
          68           5           0   41.1560956929524     
          69           5           0   34.6292820019182     
          70           5           0   29.1294588960241     
          71           5           0   27.4986750347605     
          72           5           0   19.0991475552855     
          73           5           0   19.3471562464357     
          74           5           0   20.0116664859819     
          75           5           0   21.0361439720713     
          76           5           0   21.9392329239713     
          77           5           0   21.6966484461213     
          78           5           0   22.7750049229016     
          79           5           0   25.2198013711802     
          80           5           0   26.7061313331445     
          81           5           0   28.1777547541898     
          82           5           0   29.4746020528567     
          83           5           0   30.7618269860540     
          84           5           0   32.0114811557946     
          85           5           0   33.1593746892698     
          86           5           0   34.5185277817422     
          87           5           0   35.6693877189820     
          88           5           0   36.1231758195795     
          89           5           0   34.2553832200480     
          90           5           0   33.1202383521792     
          91           5           0   31.8337270006852     
          92           5           0   30.5460542688493     
          93           5           0   28.7525353411786     
          94           5           0   26.3774193761923     
          95           5           0   20.2366335484212     
          96           5           0   21.2503117853271     
          -1           6           0   13.3860835984543     
           0           6           0   13.3481262758981     
           1           6           0   14.6265810319890     
           2           6           0   14.9646029826516     
           3           6           0   16.8918987683964     
           4           6           0   19.8099446099064     
           5           6           0   21.0186157103967     
           6           6           0   21.4591273571205     
           7           6           0   21.7564714737418     
           8           6           0   22.1174999378120     
           9           6           0   22.5758713146041     
          10           6           0   22.9941292872288     
          11           6           0   21.7667205148410     
          12           6           0   20.7854776207971     
          13           6           0   22.1680068401789     
          14           6           0   22.9169137363677     
          15           6           0   23.4376294909045     
          16           6           0   23.9884986541378     
          17           6           0   24.2261895685259     
          18           6           0   22.8868626000957     
          19           6           0   21.8970244224524     
          20           6           0   22.0974618030532     
          21           6           0   20.8731981733665     
          22           6           0   18.5809953220223     
          23           6           0   17.5547374977739     
          24           6           0   30.7627276638947     
          25           6           0   34.1081768570037     
          26           6           0   40.6815182228232     
          27           6           0   46.7010131911080     
          28           6           0   50.2966749183448     
          29           6           0   51.3986774580085     
          30           6           0   49.5229766486095     
          31           6           0   46.9533895854243     
          32           6           0   42.6236134008398     
          33           6           0   38.9294849425779     
          34           6           0   32.8328829560021     
          35           6           0   27.4884311097073     
          36           6           0   22.9701522958172     
          37           6           0   18.3687086591755     
          38           6           0   13.6648956741491     
          39           6           0   9.70561634225549     
          40           6           0   6.49226851713769     
          41           6           0   3.94494972024769     
          42           6           0   1.35470429190635     
          43           6           0  -2.07856818251523     
          44           6           0  -7.79197760726733     
          45           6           0  -15.2687485497032     
          46           6           0  -20.2441372675336     
          47           6           0  -24.4984529093464     
          48           6           0  -29.7190592360273     
          49           6           0  -33.3555127775835     
          50           6           0  -34.8574819157528     
