# Special <ix = -1>
 -2.763493722132500E-002  0.000000000000000E+000
 -2.689076635196357E-002  5.409208163210100E+019
 -2.541784959503192E-002  6.020765164772800E+019
 -2.394440031549894E-002  6.737024664910600E+019
 -2.245902356563881E-002  7.728982802290799E+019
 -2.096350680853401E-002  8.746801068585701E+019
 -1.946887753116082E-002  1.001985420689700E+020
 -1.796118828063125E-002  1.180450186741100E+020
 -1.644054652987059E-002  1.377399202843100E+020
 -1.492039977094186E-002  1.610728679136200E+020
 -1.338795555243630E-002  1.925934535148700E+020
 -1.184302293495344E-002  2.289031251228800E+020
 -1.029830153793506E-002  2.718010644376800E+020
 -8.741200871919565E-003  3.294214830161200E+020
 -7.169765108656370E-003  3.974323913685000E+020
 -5.596391782924343E-003  4.771087988645300E+020
 -4.009285715665004E-003  5.837865155407300E+020
 -2.407231793499862E-003  7.005375342460600E+020
 -8.027186780715442E-004  8.302164840876200E+020
  7.222482027063638E-004  8.506672561942500E+020
  2.445727663856482E-003  1.365444959265900E+021
  4.705028124355796E-003  2.002080318485300E+021
  7.448756847466896E-003  2.665687806596200E+021
  1.062892123894494E-002  3.068315131351100E+021
  1.419191372374710E-002  2.986392483924200E+021
  1.807690669065985E-002  2.505228457187400E+021
  2.222966506509995E-002  1.871055605877100E+021
  2.659237875228051E-002  1.338492215634100E+021
  3.110208014362341E-002  9.292212806179901E+020
  3.569070415039962E-002  6.515583187595100E+020
  4.028434566690176E-002  4.485468477633100E+020
  4.480240081374449E-002  3.114405495979000E+020
  4.916212234554631E-002  2.169523038393100E+020
  5.327443888981451E-002  1.526599671464900E+020
  5.704014173954997E-002  1.066696897057600E+020
  6.035151553084311E-002  7.288861123783300E+019
  6.310748000134161E-002  4.759048294738300E+019
  6.434766180578094E-002  0.000000000000000E+000
