# #Average energy of impinging atoms on target(eV)
-2.829741713749759149e-02	4.730122000000000116e+04
-2.754418117243586164e-02	1.926756999999999971e+04
-2.604750431866531893e-02	1.531236000000000058e+04
-2.454482640620982842e-02	1.080226000000000022e+04
-2.303519878925846046e-02	1.165127000000000044e+04
-2.151423524245453869e-02	2.535900000000000000e+04
-1.998750872664938061e-02	1.909020999999999913e+04
-1.845245000745293976e-02	1.304229000000000087e+04
-1.690400470108503056e-02	1.221628000000000065e+04
-1.534913425967763916e-02	1.477700000000000000e+04
-1.378587495932950997e-02	1.783111999999999898e+04
-1.220858545844319930e-02	1.786934999999999854e+04
-1.062421728886807012e-02	2.126313999999999942e+04
-9.030683883552589886e-03	2.193215999999999985e+04
-7.419809446862681707e-03	2.549786000000000058e+04
-5.798316750575534424e-03	3.304583999999999651e+04
-4.162449918080973581e-03	3.697262000000000262e+04
-2.502091885771023927e-03	4.249991000000000349e+04
-7.933080680733728407e-04	5.307555999999999767e+04
7.933080680733763101e-04	5.966972000000000116e+04
2.520163960515682793e-03	7.094907000000000698e+04
4.797452263993252398e-03	8.357964999999999418e+04
7.567178417047536187e-03	9.887730999999999767e+04
1.078086832699720957e-02	1.061096999999999971e+05
1.438179911263615975e-02	9.890416000000000349e+04
1.831031928558060975e-02	9.032958999999999651e+04
2.251162048530805024e-02	6.683194999999999709e+04
2.692686280267993920e-02	4.962480000000000291e+04
3.149235487654918064e-02	3.922423000000000320e+04
3.613901245115325872e-02	3.171095999999999913e+04
4.079185018335040186e-02	2.954065999999999985e+04
4.536955170962214678e-02	2.103109000000000015e+04
4.978655961177790717e-02	3.520440000000000146e+04
5.395327277854516240e-02	2.148365999999999985e+04
5.777180821190339849e-02	1.270221999999999935e+04
6.113272979698247678e-02	1.703311000000000058e+04
6.392965628452301763e-02	2.162763000000000102e+04
6.518739440953413844e-02	-1.292154999999999927e+04
