# Poloidal particle flux (s@S@-1@N@) D@S@+1@N@ (ABS) <ix = -1>
 -1.709172786651166E-002  0.000000000000000E+000
 -1.603285440189825E-002  2.521387196722500E+019
 -1.404317001662163E-002  2.540595078292300E+019
 -1.225838253689737E-002  2.593711884957100E+019
 -1.066150189728891E-002  2.653093975924300E+019
 -9.303444878555518E-003  2.689989803332500E+019
 -8.153675134854103E-003  2.699703836368900E+019
 -7.134639172151477E-003  2.675497687245000E+019
 -6.230133971499532E-003  2.623943068225000E+019
 -5.425833347412822E-003  2.552868038059100E+019
 -4.707440792102932E-003  2.483321895119400E+019
 -4.060673463768904E-003  2.415924729606500E+019
 -3.471264958570820E-003  2.370741878814900E+019
 -2.924960687387880E-003  2.358651117631900E+019
 -2.407520579682163E-003  2.393264970395000E+019
 -1.904724491292784E-003  2.495490600169800E+019
 -1.402348363022110E-003  2.673070150126800E+019
 -8.861774587058148E-004  2.944203080356000E+019
 -3.114355089742470E-004  3.704769288063200E+019
  6.952556496038487E-004  9.169601448203500E+019
  2.037378853228092E-003  9.333921808571600E+019
  3.274873179401974E-003  9.132731887623401E+019
  4.422281127240218E-003  9.217670428813600E+019
  5.524472924575089E-003  9.398983507477401E+019
  6.674299760760775E-003  9.899198307797500E+019
  7.935595749300410E-003  1.077103887720700E+020
  9.311997880374397E-003  1.198834793834300E+020
  1.083873135951359E-002  1.357577630087500E+020
  1.256586004683331E-002  1.542466262952400E+020
  1.454229191158361E-002  1.733978841090000E+020
  1.681705655719123E-002  1.932480373809200E+020
  1.943996504745776E-002  2.138353161598800E+020
  2.246017077320309E-002  2.330377370201300E+020
  2.592645870945426E-002  2.487443837683300E+020
  2.999877844077220E-002  2.586475738045000E+020
  3.491917695588813E-002  2.600867690714200E+020
  4.065061052856928E-002  2.452130327958400E+020
  4.371354991499310E-002  0.000000000000000E+000
