# Electric potential (V)/(m) (d/dx)  
          86           1           0  -11.0074451503591     
          87           1           0  -14.4772166076029     
          88           1           0  -18.8441171902009     
          89           1           0  -23.7266993454493     
          90           1           0  -30.0246166965793     
          91           1           0  -37.8024739828487     
          92           1           0  -46.7778986217046     
          93           1           0  -57.5066074428512     
          94           1           0  -78.5172325703657     
          95           1           0  -77.5943985002363     
          96           1           0  -44.7467083627926     
          -1           2           0   41.7604747333647     
           0           2           0   69.9667624946121     
           1           2           0   78.7999864609917     
           2           2           0   67.5825860235853     
           3           2           0   56.5000867689614     
           4           2           0   48.4124645992055     
           5           2           0   42.4351956333060     
           6           2           0   37.1059110617014     
           7           2           0   32.3187393757799     
           8           2           0   26.7994966069350     
           9           2           0   21.4732311063406     
          10           2           0   17.3227417861565     
          11           2           0   14.2592097501414     
          12           2           0   11.2243725266061     
          13           2           0   8.33779028351436     
          14           2           0   6.75793914153400     
          15           2           0   6.28870087592440     
          16           2           0   4.60433323037811     
          17           2           0   1.84584408435013     
          18           2           0  0.645037254541716     
          19           2           0  0.577314385117763     
          20           2           0 -0.535012132298028     
          21           2           0  -2.21142756284384     
          22           2           0  -2.78412268632748     
          23           2           0 -0.487416958046788     
          24           2           0  0.102905496177866     
          25           2           0 -0.109166572658251     
          26           2           0 -0.232366032004967     
          27           2           0 -0.357848638146109     
          28           2           0 -0.412155718522618     
          29           2           0 -0.337921911400729     
          30           2           0 -0.272535252473628     
          31           2           0 -0.311041281829459     
          32           2           0 -0.296093283100033     
          33           2           0 -0.226379743345437     
          34           2           0 -0.159532338550049     
          35           2           0 -2.637765377927520E-002
          36           2           0  3.425048875372057E-002
          37           2           0  4.022579947951266E-002
          38           2           0  8.759803147892285E-002
          39           2           0  0.146339320294424     
          40           2           0  0.221489348075504     
          41           2           0  0.225930468872599     
          42           2           0  0.123412486186597     
          43           2           0  4.548827082825396E-002
          44           2           0 -1.794830589335299E-002
          45           2           0 -6.868215965711734E-002
          46           2           0 -3.450000025636032E-002
          47           2           0 -1.517578460073788E-003
          48           2           0 -1.574540434657026E-002
          49           2           0  1.481655707371882E-002
          50           2           0  4.516583438680199E-002
          51           2           0  7.631112859938087E-002
          52           2           0  0.101408062058864     
          53           2           0  8.010115889454555E-002
          54           2           0  5.754043102364800E-002
          55           2           0  5.895631475517941E-002
          56           2           0  2.514570178471717E-002
          57           2           0 -0.104571181266750     
          58           2           0 -0.212565650830877     
          59           2           0 -0.208228996989427     
          60           2           0 -0.141855088632678     
          61           2           0 -1.422138605798702E-002
          62           2           0  0.155245790418583     
          63           2           0  0.295728440323412     
          64           2           0  0.317137415075301     
          65           2           0  0.302102042918830     
          66           2           0  0.310435123761623     
          67           2           0  0.225239725630366     
          68           2           0  0.227906308087384     
          69           2           0  0.261121343250817     
          70           2           0  9.272092961926584E-002
          71           2           0  1.202393406431805E-002
          72           2           0   3.03258945062638     
          73           2           0   4.63869698723202     
          74           2           0   5.71286150047890     
          75           2           0   7.13019157976303     
          76           2           0   8.01209524174280     
          77           2           0   8.01199004869953     
          78           2           0   6.69207778091976     
          79           2           0   4.62637931807336     
          80           2           0   2.80818841327714     
          81           2           0  0.864573123730700     
          82           2           0  -1.36412565751488     
          83           2           0  -3.56626377640678     
          84           2           0  -6.14617522627372     
          85           2           0  -8.88720275496176     
          86           2           0  -11.5056848600931     
          87           2           0  -14.9809129331624     
          88           2           0  -19.4187240944862     
          89           2           0  -24.4188970752244     
          90           2           0  -31.2714046310396     
          91           2           0  -39.8519180523396     
          92           2           0  -48.7110011078508     
          93           2           0  -59.4565434878880     
          94           2           0  -81.4123520862149     
          95           2           0  -79.6872094943928     
          96           2           0  -44.4728083403459     
          -1           3           0   43.1802930168731     
           0           3           0   76.0259086602603     
           1           3           0   85.4209182834205     
           2           3           0   72.0286908307874     
           3           3           0   60.1853263386051     
           4           3           0   51.4295161515412     
           5           3           0   44.7521350887389     
           6           3           0   38.3840641735091     
           7           3           0   32.4309641354416     
           8           3           0   26.0646226531943     
           9           3           0   20.3460915248264     
          10           3           0   16.2335066433588     
          11           3           0   12.9847091649585     
          12           3           0   10.4133163750880     
          13           3           0   8.25690150210774     
          14           3           0   6.42867822717933     
          15           3           0   4.58257834567220     
          16           3           0   2.72239045971275     
          17           3           0   1.36513126954396     
          18           3           0  0.305010812707382     
          19           3           0 -0.114273487378850     
