field,active_triangles,relative_l1,relative_bias,nt_sum,solps_sum,median_positive_ratio,log10_rmse
Atomic deuterium density,8010,0.19086118360538695,-0.1493817286562133,4.827472770070485e+21,5.675251675988759e+21,0.8599024599212103,0.5837917543177467
Molecular deuterium density,5991,1.5177200920968406,1.4882716307024157,3.7846376741792656e+21,1.5209905652908554e+21,1.8461209922730166,0.7724053231227641
Molecular deuterium ion density,2999,1.5523400111235504,0.8554072999513076,2.54167007695771e+19,1.36987176725262e+19,1.5011463480497051,1.1183126764006397
Electron-impact D+ production source,6775,0.5221734030378601,0.017667836038130977,1.8936238650412402e+23,1.8607484662316554e+23,0.7842810354449699,1.2433133001842909
D2 dissociation collision source,3496,199.00963028781308,198.947113215202,4.180081842659e+22,2.0905937452370218e+20,185.55076105429578,2.2424779235995556
