field,active_triangles,relative_l1,relative_bias,nt_sum,solps_sum,median_positive_ratio,log10_rmse
Atomic deuterium density,8010,0.2250860948755532,-0.17701650343560194,4.670638468188188e+21,5.675251675988759e+21,0.6720530114364996,0.8893601160532945
Molecular deuterium density,5895,0.4674382367190559,-0.25090703811057496,1.1393633275595977e+21,1.5209905652908556e+21,0.5632350034038489,0.8910632433930894
Molecular deuterium ion density,2597,1.0264290814184824,-0.4567329477002354,7.44206197024e+18,1.36987176725262e+19,0.7734024805181722,0.9910362738359435
Electron-impact D+ production source,6702,0.5449655905387666,-0.15521714828365124,1.5719283956300002e+23,1.8607484662316554e+23,0.6706425396619204,1.0289314067999493
D2 dissociation collision source,3445,67.85362376595799,67.4105935114549,1.4301875890300001e+22,2.0905937452370218e+20,79.30913873393027,1.995015244352087
