output,species,region,triangles,nt_sum,eirene_sum,sum_ratio,median_ratio,p10_ratio,p90_ratio
hpc_latest_5,D,global,8010,4.623175772661165e+21,5.675251675988759e+21,0.8146203968752984,0.8816659382358789,0.13508351751254538,1.9257333023909222
hpc_latest_5,D,|Z|<0.02,88,1.29694536052e+17,3.9555433587e+17,0.3278804560863781,0.41816451723476067,0.10732677744820181,2.013051513337503
hpc_latest_5,D,|Z|<0.05,221,3.63243199041e+17,9.2532254927e+17,0.392558464426883,0.5754232530114982,0.13458662222082454,3.6781460761534004
hpc_latest_5,D,|Z|<0.10,458,7.179938759217e+17,1.893121859747e+18,0.3792644790534793,0.4710789949723233,0.12401031985020733,3.1422369814913864
hpc_latest_5,D2,global,5871,3.046987283982357e+21,1.5209905652908554e+21,2.003291377024215,1.7419046303282784,0.0,6.073210045582959
hpc_latest_5,D2,|Z|<0.02,55,3.5797718319e+17,2.329947471826379e+17,1.5364173978969233,1.300683142858289,0.0,2.9913011886528675
hpc_latest_5,D2,|Z|<0.05,124,8.2644155489e+17,5.639147195560378e+17,1.4655435054801298,0.8189751916547918,0.0,4.004987561703825
hpc_latest_5,D2,|Z|<0.10,289,1.8204412109028e+18,1.1015493328529549e+18,1.6526188674527658,0.8110744954033092,0.0,4.835740474256921
hpc_surface_match_5,D,global,8010,4.502918737644878e+21,5.675251675988759e+21,0.7934306696381648,0.787961303119137,0.06733980477819669,1.6992586325146024
hpc_surface_match_5,D,|Z|<0.02,88,1.14079196568e+17,3.9555433587e+17,0.28840335251815424,0.44460171534091353,0.07864228680680319,1.351980500949583
hpc_surface_match_5,D,|Z|<0.05,221,3.08618329388e+17,9.2532254927e+17,0.33352513632297554,0.476335004472551,0.05743562049822694,1.887660303018663
hpc_surface_match_5,D,|Z|<0.10,458,6.20913269203e+17,1.893121859747e+18,0.32798378298055253,0.4313251890299494,0.06652946684975064,1.7636650993272154
hpc_surface_match_5,D2,global,5871,4.6841386876114646e+21,1.5209905652908554e+21,3.079663210610204,1.503660748358466,0.0,4.444122628074362
hpc_surface_match_5,D2,|Z|<0.02,55,4.32680903569e+17,2.329947471826379e+17,1.8570414517964813,1.1720791818749794,0.0,4.337266586830802
hpc_surface_match_5,D2,|Z|<0.05,124,9.62348847473e+17,5.639147195560378e+17,1.7065503241884583,1.0783141901886393,0.0,4.173083779521625
hpc_surface_match_5,D2,|Z|<0.10,289,1.840266124335e+18,1.1015493328529549e+18,1.6706161671114697,0.8387775824066965,0.0,4.200858875473114
local_c0916ff_5e19,D,global,8010,5.605422013059895e+21,5.675251675988759e+21,0.9876957592516462,0.6245234545227284,0.05099175606991931,1.3403241502593364
local_c0916ff_5e19,D,|Z|<0.02,88,8.8431261297e+16,3.9555433587e+17,0.22356286678668383,0.1747967380621552,0.01646269367389194,0.8209490572283314
local_c0916ff_5e19,D,|Z|<0.05,221,2.18664843241e+17,9.2532254927e+17,0.2363120226709138,0.21985219352127766,0.022702401412048864,1.0603805569163536
local_c0916ff_5e19,D,|Z|<0.10,458,5.72728755794e+17,1.893121859747e+18,0.3025313731629196,0.28802755182097484,0.02750429227928826,1.2728948967445821
local_c0916ff_5e19,D2,global,5871,1.2050179357044255e+21,1.5209905652908554e+21,0.7922586524880861,0.30088758325553777,0.0,1.2213478846358783
local_c0916ff_5e19,D2,|Z|<0.02,55,1.03166234829e+17,2.329947471826379e+17,0.4427835222745642,0.18620211428596992,0.0031919428020201735,28.411665354511516
local_c0916ff_5e19,D2,|Z|<0.05,124,2.37655812258e+17,5.639147195560378e+17,0.4214392779906563,0.2135486274498518,0.0,22.97920275826827
local_c0916ff_5e19,D2,|Z|<0.10,289,4.924110926819e+17,1.1015493328529549e+18,0.44701683165345046,0.16264383250356354,0.0,1.9233422078746654
