# Electric potential (V)/(m) (d/dx)  
          86           0           0  -8.22101353442609     
          87           0           0  -10.9765093528754     
          88           0           0  -14.4196853180869     
          89           0           0  -18.8172743303692     
          90           0           0  -24.7067216148422     
          91           0           0  -31.6412848102133     
          92           0           0  -39.2574935216658     
          93           0           0  -49.0432210027711     
          94           0           0  -67.2832443654048     
          95           0           0  -66.1080544738410     
          96           0           0  -38.2367274333114     
          -1           1           0   32.1890095207286     
           0           1           0   55.9535394019343     
           1           1           0   64.1311996609093     
           2           1           0   55.7969790527535     
           3           1           0   47.5080048470289     
           4           1           0   41.5897602356487     
           5           1           0   35.4727065547803     
           6           1           0   30.2557164878801     
           7           1           0   27.2119061073684     
           8           1           0   24.0622455593829     
           9           1           0   20.2861384992795     
          10           1           0   15.9600874339883     
          11           1           0   12.7740448735183     
          12           1           0   10.1910440913159     
          13           1           0   8.41768176057868     
          14           1           0   7.94532746095750     
          15           1           0   7.02431615427432     
          16           1           0   5.19308774849577     
          17           1           0   2.98364640583150     
          18           1           0  0.982329251586443     
          19           1           0 -0.314043243777677     
          20           1           0  -1.03069191347864     
          21           1           0  -1.45820260496979     
          22           1           0 -0.600247774613955     
          23           1           0   2.39940639800000     
          24           1           0 -4.714469007925193E-002
          25           1           0 -0.243385065787956     
          26           1           0 -0.381533337251762     
          27           1           0 -0.491542542218677     
          28           1           0 -0.569086053818599     
          29           1           0 -0.497037629270131     
          30           1           0 -0.259350239336807     
          31           1           0 -0.136000609939011     
          32           1           0 -0.191871127600178     
          33           1           0 -0.116865828378048     
          34           1           0  1.282244971397778E-002
          35           1           0  7.461914378147019E-002
          36           1           0  0.173831041261744     
          37           1           0  0.262585322827599     
          38           1           0  0.330619299562818     
          39           1           0  0.420933595529227     
          40           1           0  0.489498813378515     
          41           1           0  0.529937563102648     
          42           1           0  0.537196948756600     
          43           1           0  0.504631546943803     
          44           1           0  0.434616055146051     
          45           1           0  0.343169233345030     
          46           1           0  0.228775612516518     
          47           1           0  0.148621780671099     
          48           1           0  0.140897370434920     
          49           1           0  0.154927505605133     
          50           1           0  0.135539406485132     
          51           1           0  9.524223537870061E-002
          52           1           0  9.357401390780097E-002
          53           1           0  0.148548105746633     
          54           1           0  0.126466423218667     
          55           1           0  8.708835410672461E-003
          56           1           0 -0.104471976773889     
          57           1           0 -0.179240780508937     
          58           1           0 -0.285023422192689     
          59           1           0 -0.359783482596721     
          60           1           0 -0.271351601784526     
          61           1           0 -0.177408113773382     
          62           1           0 -8.519532879834626E-002
          63           1           0  3.799798229757115E-003
          64           1           0  1.995695668711342E-002
          65           1           0 -2.228514457685031E-002
          66           1           0 -6.908760228821965E-002
          67           1           0 -0.111344744052852     
          68           1           0 -0.136990217306002     
          69           1           0 -0.219950915469285     
          70           1           0 -0.394345791822413     
          71           1           0 -0.356726282884378     
          72           1           0   3.44565146387151     
          73           1           0   2.87727342957405     
          74           1           0   3.53362536719089     
          75           1           0   5.71735348371463     
          76           1           0   7.91058855414602     
          77           1           0   8.85522124689498     
          78           1           0   8.18585599517100     
          79           1           0   6.69002576219684     
          80           1           0   4.81149657759196     
          81           1           0   2.83590988606668     
          82           1           0  0.754905375286021     
          83           1           0  -1.41350661624120     
          84           1           0  -3.73625220932418     
          85           1           0  -6.34665546770922     
          86           1           0  -8.88990664482544     
          87           1           0  -11.7025028841032     
          88           1           0  -15.2832695146905     
          89           1           0  -19.7916292603203     
          90           1           0  -26.2699389949345     
          91           1           0  -33.8457815138324     
          92           1           0  -41.0315812989107     
          93           1           0  -50.4265908027407     
          94           1           0  -68.7068276925402     
          95           1           0  -66.8063800611444     
          96           1           0  -37.6714501687614     
          -1           2           0   34.6297486336644     
           0           2           0   60.8883320550891     
           1           2           0   69.4595959070712     
           2           2           0   60.1976597048112     
           3           2           0   51.3237541493846     
           4           2           0   44.5752903382910     
           5           2           0   38.5918017654180     
           6           2           0   32.5708338098837     
           7           2           0   28.5107319030547     
           8           2           0   24.5142080074241     
           9           2           0   19.4409307507998     
          10           2           0   15.0043377660839     
          11           2           0   12.2140294833764     
          12           2           0   9.57824895577260     
          13           2           0   7.32650510292821     
          14           2           0   6.51527522782027     
          15           2           0   5.12270096474480     
          16           2           0   2.61198704376727     
          17           2           0  0.853206421228617     
          18           2           0 -0.126921914518156     
          19           2           0  -1.31456121695332     
          20           2           0  -2.25656033666507     
          21           2           0  -1.51005937420804     
          22           2           0  0.544897856719521     
          23           2           0   2.69935120397868     
          24           2           0  0.381339755326040     
          25           2           0  0.194329850466555     
          26           2           0  2.711131763296638E-002
