# Poloidal particle flux (s@S@-1@N@)/(m@S@2@N@) <ix = 96> D@S@0@N@
 -7.366374279853694E-003 -1.178414812928828E+021
 -6.934512399930007E-003 -1.178597757073496E+021
 -6.122679149671692E-003 -1.471023939613904E+021
 -5.394321662577509E-003 -1.615091823162090E+021
 -4.743029890692586E-003 -1.735472967239577E+021
 -4.162388786281747E-003 -1.944371121188969E+021
 -3.645983244041715E-003 -1.870145396609566E+021
 -3.187400692299502E-003 -2.243831702790898E+021
 -2.780236106221317E-003 -2.515677394175561E+021
 -2.418089474031527E-003 -2.420284418845480E+021
 -2.094545749233716E-003 -2.480815591408365E+021
 -1.803197325209583E-003 -2.495803687399450E+021
 -1.537636655470164E-003 -2.968483416313472E+021
 -1.291451206405147E-003 -3.073610285390365E+021
 -1.058230746472447E-003 -3.229140643724715E+021
 -8.315525833619934E-004 -2.796685075755612E+021
 -6.050142305797038E-004 -3.163760669290122E+021
 -3.722155165582809E-004 -2.904630447492854E+021
 -1.267243500675166E-004 -2.969648098024907E+021
  3.275869489539774E-004 -2.989294769900683E+021
  9.471685799052072E-004 -3.040861047213684E+021
  1.505782843423996E-003 -2.920427360705293E+021
  2.023799399777352E-003 -3.119397586836409E+021
  2.521160850949732E-003 -3.408182739844061E+021
  3.018047355929761E-003 -3.215196728811648E+021
  3.535136559501309E-003 -3.343611314849609E+021
  4.092853598111424E-003 -3.522715754231322E+021
  4.711481149636772E-003 -3.691029508509916E+021
  5.411306891964946E-003 -3.804680604169163E+021
  6.212613523411143E-003 -4.094766790863197E+021
  7.135678671227205E-003 -3.999095215912474E+021
  8.200790023533770E-003 -3.818206914849954E+021
  9.428230278783121E-003 -3.933170602321733E+021
  1.083827209470778E-002 -3.295695157451366E+021
  1.245119562890156E-002 -2.827245468102591E+021
  1.428492607923539E-002 -2.148551298596572E+021
  1.635853610324690E-002 -8.830405622187983E+020
  1.746912797504878E-002 -8.832893250349004E+020
# Poloidal particle flux (s@S@-1@N@)/(m@S@2@N@) <ix = 96> D@S@+1@N@
 -7.366374279853694E-003  0.000000000000000E+000
 -6.934512399930007E-003  6.893507213899635E+021
 -6.122679149671692E-003  7.193941621240203E+021
 -5.394321662577509E-003  7.567346995075770E+021
 -4.743029890692586E-003  7.959592052812339E+021
 -4.162388786281747E-003  8.357832864211904E+021
 -3.645983244041715E-003  8.725920657971760E+021
 -3.187400692299502E-003  9.068120422022110E+021
 -2.780236106221317E-003  9.378803268425591E+021
 -2.418089474031527E-003  9.666788687669421E+021
 -2.094545749233716E-003  9.929020711841743E+021
 -1.803197325209583E-003  1.018248964000277E+022
 -1.537636655470164E-003  1.042233820044558E+022
 -1.291451206405147E-003  1.063386743469734E+022
 -1.058230746472447E-003  1.083381898063604E+022
 -8.315525833619934E-004  1.102888518597011E+022
 -6.050142305797038E-004  1.123273019513923E+022
