# Electric potential (V)/(m) (d/dy)  
          -1          -1           0   1.69685833455452     
           0          -1           0   1.64142727803486     
           1          -1           0   1.71740000749758     
           2          -1           0   2.62083790278736     
           3          -1           0   4.01485497061502     
           4          -1           0   4.00307793464696     
           5          -1           0  -3.69482054100359     
           6          -1           0  -3.56960128649752     
           7          -1           0  -3.37069591005923     
           8          -1           0  -3.22796086580094     
           9          -1           0  -8.45597986239752     
          10          -1           0  -8.68089181596902     
          11          -1           0  -8.61526151469690     
          12          -1           0  -2.47935618918790     
          13          -1           0  -2.22259329088872     
          14          -1           0   6.19556055171285     
          15          -1           0   6.38005607604220     
          16          -1           0   6.48305387453911     
          17          -1           0   6.20797441432561     
          18          -1           0   6.31037354843313     
          19          -1           0   6.35580383651170     
          20          -1           0  -1.95200004663861     
          21          -1           0  -1.36693487782831     
          22          -1           0  -2.43187819027268     
          23          -1           0  -3.38882851433097     
          24          -1           0  -895.440662600733     
          25          -1           0  -973.454958375206     
          26          -1           0  -1135.35173811387     
          27          -1           0  -1325.40432475287     
          28          -1           0  -1473.02043746131     
          29          -1           0  -1546.60522251146     
          30          -1           0  -1578.43017680177     
          31          -1           0  -1581.59553395092     
          32          -1           0  -1568.23826990407     
          33          -1           0  -1536.49023392454     
          34          -1           0  -1495.59407434249     
          35          -1           0  -1453.04144208349     
          36          -1           0  -1397.97037030080     
          37          -1           0  -1322.12177318486     
          38          -1           0  -1221.07157019506     
          39          -1           0  -1095.22737479606     
          40          -1           0  -972.682958439496     
          41          -1           0  -871.027278533172     
          42          -1           0  -784.375682231334     
          43          -1           0  -676.485283747286     
          44          -1           0  -513.983418281855     
          45          -1           0  -284.572708296030     
          46          -1           0  -13.8893474227241     
          47          -1           0   275.293065170578     
          48          -1           0   542.385347644358     
          49          -1           0   756.936160192746     
          50          -1           0   902.792240922161     
          51          -1           0   976.440201786714     
          52          -1           0   997.585251199078     
          53          -1           0   988.732896350273     
          54          -1           0   961.587892307833     
          55          -1           0   948.009505174018     
          56          -1           0   964.662993134375     
          57          -1           0   1003.94019055079     
          58          -1           0   1061.78141888430     
          59          -1           0   1113.45093307526     
          60          -1           0   1130.07546581434     
          61          -1           0   1075.84964182850     
          62          -1           0   931.297180463203     
          63          -1           0   703.303731023751     
          64          -1           0   401.835453069153     
          65          -1           0   59.8665743218411     
          66          -1           0  -278.142133726686     
          67          -1           0  -561.855193296574     
          68          -1           0  -741.452757796480     
          69          -1           0  -821.221685204028     
          70          -1           0  -852.751555127951     
          71          -1           0  -875.280166367921     
          72          -1           0  -3.38597636949402     
          73          -1           0  -3.77941095276991     
          74          -1           0   4.33165404921983     
          75          -1           0   4.05987024231206     
          76          -1           0   4.19317367319255     
          77          -1           0   4.61055217161119     
          78          -1           0  -5.09694757894270     
          79          -1           0  -4.93862436886112     
          80          -1           0  -4.72650850560088     
          81          -1           0   2.05776054631165     
          82          -1           0   3.14312195933558     
          83          -1           0   3.02897661252838     
          84          -1           0   3.14032244415304     
          85          -1           0   4.43888929059737     
          86          -1           0   7.60050880367356     
          87          -1           0   10.3526040564912     
          88          -1           0   12.7788595604790     
          89          -1           0   14.4572645471451     
          90          -1           0   15.5381372093825     
          91          -1           0   9.22857596037339     
          92          -1           0  -21.7417129275967     
          93          -1           0  -29.6417764708584     
          94          -1           0  -28.5308460313569     
          95          -1           0  -29.9521424664981     
          96          -1           0  -32.6607509998676     
          -1           0           0 -0.446411858109529     
           0           0           0 -0.605901827940364     
           1           0           0 -0.468560274487984     
           2           0           0 -0.129332178154739     
           3           0           0  0.577695810542985     
           4           0           0  0.714220221311620     
           5           0           0  -1.39459505083085     
           6           0           0  -1.34129678771861     
           7           0           0  -1.10590412932092     
           8           0           0 -0.867467166166728     
           9           0           0  -2.19204676922923     
          10           0           0  -2.03727595063744     
          11           0           0  -2.03293454394445     
          12           0           0 -0.383730768667807     
          13           0           0 -0.188309433428215     
          14           0           0   2.43382067904277     
          15           0           0   2.52151578736351     
          16           0           0   2.48693324180495     
