4.04430E-01 4.13730E-01 4.30280E-01 4.51890E-01 4.73740E-01 4.80410E-01 4.89290E-01 5.05020E-01 5.10760E-01 5.14560E-01 5.16410E-01 
7.02890E-01 7.16940E-01 7.42010E-01 7.79430E-01 8.10140E-01 8.28790E-01 8.45700E-01 8.75360E-01 8.82980E-01 8.89410E-01 8.89770E-01 
7.08030E-01 7.22600E-01 7.56700E-01 8.05050E-01 8.45330E-01 8.65070E-01 8.83940E-01 9.21380E-01 9.32900E-01 9.38830E-01 9.43190E-01 
6.94430E-01 7.08210E-01 7.45900E-01 8.01710E-01 8.46090E-01 8.68410E-01 8.92960E-01 9.35220E-01 9.49960E-01 9.58590E-01 9.61160E-01 
6.75920E-01 6.87130E-01 7.27390E-01 7.85740E-01 8.37910E-01 8.65930E-01 8.94260E-01 9.42550E-01 9.58840E-01 9.69440E-01 9.73300E-01 
6.45720E-01 6.60970E-01 6.98220E-01 7.65590E-01 8.18810E-01 8.54200E-01 8.84460E-01 9.45390E-01 9.67580E-01 9.79330E-01 9.83150E-01 
6.28780E-01 6.42590E-01 6.76670E-01 7.45150E-01 8.05990E-01 8.39350E-01 8.74000E-01 9.44130E-01 9.69500E-01 9.83100E-01 9.87350E-01 
6.14680E-01 6.28590E-01 6.63360E-01 7.31780E-01 7.90560E-01 8.24620E-01 8.63150E-01 9.40720E-01 9.69520E-01 9.85680E-01 9.90480E-01 
6.04200E-01 6.16970E-01 6.52570E-01 7.16470E-01 7.80410E-01 8.15630E-01 8.56140E-01 9.38100E-01 9.70240E-01 9.87460E-01 9.92060E-01 
5.90270E-01 6.02430E-01 6.34040E-01 6.99940E-01 7.59910E-01 7.96920E-01 8.37920E-01 9.30050E-01 9.69270E-01 9.89720E-01 9.94670E-01 
5.79710E-01 5.93440E-01 6.24610E-01 6.85660E-01 7.43990E-01 7.82560E-01 8.24660E-01 9.23190E-01 9.66770E-01 9.90630E-01 9.95970E-01 
5.73360E-01 5.81530E-01 6.15870E-01 6.74000E-01 7.33170E-01 7.68520E-01 8.13120E-01 9.15650E-01 9.64160E-01 9.91520E-01 9.97170E-01 
5.65880E-01 5.75810E-01 6.09430E-01 6.63260E-01 7.23910E-01 7.58380E-01 8.01860E-01 9.08130E-01 9.60860E-01 9.91220E-01 9.97640E-01 
5.58490E-01 5.70200E-01 5.99910E-01 6.59860E-01 7.12890E-01 7.50610E-01 7.92880E-01 9.01800E-01 9.58830E-01 9.91930E-01 9.97980E-01 
5.52370E-01 5.64440E-01 5.97550E-01 6.52460E-01 7.07550E-01 7.41650E-01 7.85060E-01 8.95610E-01 9.55590E-01 9.92440E-01 9.98670E-01 
5.52330E-01 5.58120E-01 5.93670E-01 6.48500E-01 7.03230E-01 7.37660E-01 7.77460E-01 8.89130E-01 9.51520E-01 9.91930E-01 9.98570E-01 
5.21100E-01 5.30400E-01 5.62030E-01 6.17070E-01 6.68320E-01 6.99070E-01 7.34160E-01 8.41350E-01 9.20470E-01 9.89090E-01 9.99690E-01 
5.06140E-01 5.17900E-01 5.46830E-01 5.98740E-01 6.47710E-01 6.77950E-01 7.12800E-01 8.13890E-01 8.94970E-01 9.84240E-01 9.99850E-01 
4.84690E-01 4.96170E-01 5.23400E-01 5.76130E-01 6.25260E-01 6.51980E-01 6.88760E-01 7.80070E-01 8.58360E-01 9.72610E-01 9.99980E-01 
4.65940E-01 4.78740E-01 5.07900E-01 5.58210E-01 6.11960E-01 6.39130E-01 6.70430E-01 7.61700E-01 8.30880E-01 9.59180E-01 1.00000E+00 
4.44350E-01 4.55470E-01 4.85800E-01 5.41670E-01 5.91040E-01 6.21190E-01 6.54520E-01 7.40840E-01 8.07720E-01 9.37400E-01 1.00000E+00 
4.32410E-01 4.46450E-01 4.78870E-01 5.29340E-01 5.81240E-01 6.11240E-01 6.43370E-01 7.34150E-01 7.96580E-01 9.25170E-01 1.00000E+00 
4.17720E-01 4.28240E-01 4.63890E-01 5.16620E-01 5.71030E-01 5.98600E-01 6.35390E-01 7.19770E-01 7.83950E-01 9.09200E-01 1.00000E+00 
4.09280E-01 4.21280E-01 4.53140E-01 5.10830E-01 5.64950E-01 5.95200E-01 6.25200E-01 7.12490E-01 7.77440E-01 8.98950E-01 1.00000E+00 
3.95270E-01 4.06620E-01 4.46820E-01 4.99590E-01 5.52590E-01 5.82900E-01 6.16010E-01 7.02420E-01 7.65800E-01 8.86870E-01 1.00000E+00 
