    0          15         30         45         55         65         75         80         85
200 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
210 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
220 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
230 0.0000E+00 0.0000E+00 2.0000E-06 1.0000E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
240 2.0000E-06 2.0000E-06 2.0000E-06 2.0000E-06 1.0000E-06 2.0000E-06 1.0000E-06 0.0000E+00 0.0000E+00
250 2.0000E-06 1.0000E-06 5.0000E-06 6.0000E-06 8.0000E-06 2.0000E-06 2.0000E-06 1.0000E-06 0.0000E+00
260 1.5000E-05 9.0000E-06 1.6000E-05 1.8000E-05 1.5000E-05 1.1000E-05 9.0000E-06 3.0000E-06 0.0000E+00
275 4.0000E-05 2.4000E-05 3.2000E-05 3.8000E-05 4.0000E-05 3.8000E-05 1.8000E-05 4.0000E-06 1.0000E-06
300 1.0600E-04 7.6000E-05 1.0600E-04 1.2000E-04 1.1600E-04 1.0700E-04 6.8000E-05 2.6000E-05 2.0000E-06
325 1.5800E-04 1.8500E-04 2.4100E-04 2.1900E-04 2.3500E-04 1.9500E-04 1.4100E-04 7.2000E-05 1.0000E-05
350 3.0200E-04 3.1300E-04 3.7200E-04 3.9300E-04 3.8200E-04 3.7400E-04 2.3700E-04 9.3000E-05 1.3000E-05
375 4.6700E-04 4.8000E-04 4.8700E-04 5.8300E-04 6.3200E-04 6.1500E-04 4.0100E-04 2.0500E-04 1.8000E-05
400 6.4500E-04 7.0800E-04 7.4900E-04 8.0600E-04 8.5000E-04 7.9000E-04 5.7700E-04 2.7600E-04 3.3000E-05
425 8.8900E-04 9.1700E-04 9.4100E-04 1.1430E-03 1.1890E-03 1.1330E-03 7.8800E-04 4.5400E-04 6.7000E-05
450 1.0810E-03 1.1200E-03 1.2630E-03 1.4060E-03 1.4670E-03 1.4650E-03 1.0630E-03 6.3800E-04 1.0000E-04
475 1.3480E-03 1.3780E-03 1.4470E-03 1.7130E-03 1.8140E-03 1.7670E-03 1.3980E-03 7.9200E-04 1.3900E-04
500 1.5910E-03 1.5960E-03 1.8130E-03 2.0700E-03 2.2520E-03 2.2280E-03 1.7150E-03 1.0600E-03 2.0300E-04
600 2.4680E-03 2.7010E-03 2.9750E-03 3.5060E-03 3.7840E-03 4.0170E-03 3.5550E-03 2.6660E-03 7.7300E-04
700 3.4930E-03 3.6920E-03 4.0580E-03 4.7230E-03 5.2610E-03 6.0680E-03 6.1640E-03 5.1750E-03 1.8960E-03
800 4.3990E-03 4.5680E-03 5.0800E-03 6.0380E-03 6.9410E-03 8.0360E-03 9.1830E-03 8.8610E-03 3.4580E-03
900 5.1600E-03 5.3500E-03 5.9990E-03 7.2380E-03 8.5610E-03 1.0214E-02 1.2806E-02 1.3284E-02 6.0410E-03
1000 5.6930E-03 6.1430E-03 6.7140E-03 8.2820E-03 9.6670E-03 1.2068E-02 1.6736E-02 1.7580E-02 9.6010E-03
1100 6.3260E-03 6.7800E-03 7.4070E-03 9.2100E-03 1.0851E-02 1.4296E-02 2.0402E-02 2.2509E-02 1.3618E-02
1250 6.9980E-03 7.4750E-03 8.2460E-03 1.0333E-02 1.2774E-02 1.7256E-02 2.5290E-02 2.9561E-02 2.0287E-02
1500 7.8780E-03 8.2710E-03 9.4450E-03 1.1807E-02 1.5250E-02 2.1169E-02 3.3090E-02 4.0389E-02 3.0340E-02
