2.60876E-01 2.68670E-01 2.85550E-01 3.11146E-01 3.30950E-01 3.44138E-01 3.51047E-01 3.66402E-01 3.72304E-01 3.77342E-01 3.77242E-01 
4.61413E-01 4.76256E-01 5.07935E-01 5.61364E-01 6.07521E-01 6.30202E-01 6.52991E-01 6.97829E-01 7.11776E-01 7.23574E-01 7.24930E-01 
4.77352E-01 4.95138E-01 5.32326E-01 6.02619E-01 6.57978E-01 6.88225E-01 7.19260E-01 7.80007E-01 8.03802E-01 8.18274E-01 8.23567E-01 
4.69254E-01 4.84293E-01 5.29067E-01 6.04072E-01 6.68098E-01 7.03328E-01 7.40717E-01 8.15428E-01 8.43559E-01 8.62339E-01 8.68055E-01 
4.48896E-01 4.66395E-01 5.11197E-01 5.93423E-01 6.65496E-01 7.05260E-01 7.50367E-01 8.39901E-01 8.74013E-01 8.95640E-01 9.05153E-01 
4.22214E-01 4.38222E-01 4.84377E-01 5.69352E-01 6.49278E-01 6.93012E-01 7.46355E-01 8.52735E-01 8.97810E-01 9.25046E-01 9.33802E-01 
4.07634E-01 4.23358E-01 4.65022E-01 5.47348E-01 6.28387E-01 6.79682E-01 7.35069E-01 8.56221E-01 9.07201E-01 9.40264E-01 9.50200E-01 
3.94457E-01 4.07664E-01 4.48674E-01 5.29014E-01 6.11684E-01 6.64815E-01 7.22682E-01 8.54357E-01 9.12450E-01 9.48139E-01 9.60304E-01 
3.84752E-01 3.98263E-01 4.38710E-01 5.16481E-01 5.99891E-01 6.48812E-01 7.10931E-01 8.50877E-01 9.13744E-01 9.54767E-01 9.67494E-01 
3.68277E-01 3.79753E-01 4.20083E-01 4.92529E-01 5.73933E-01 6.24180E-01 6.88498E-01 8.38961E-01 9.14296E-01 9.63407E-01 9.76591E-01 
3.58583E-01 3.72309E-01 4.06833E-01 4.76503E-01 5.54424E-01 6.05109E-01 6.66593E-01 8.28481E-01 9.11838E-01 9.67855E-01 9.82571E-01 
3.51765E-01 3.62591E-01 3.97100E-01 4.64153E-01 5.39738E-01 5.89043E-01 6.52487E-01 8.17621E-01 9.08622E-01 9.69775E-01 9.85768E-01 
3.42826E-01 3.54012E-01 3.89193E-01 4.56642E-01 5.27801E-01 5.76229E-01 6.35416E-01 8.07407E-01 9.03811E-01 9.71311E-01 9.89083E-01 
3.40541E-01 3.49202E-01 3.85358E-01 4.46246E-01 5.15300E-01 5.65729E-01 6.23216E-01 7.95935E-01 9.00402E-01 9.72847E-01 9.90756E-01 
3.34357E-01 3.46493E-01 3.79032E-01 4.41252E-01 5.08993E-01 5.53031E-01 6.12300E-01 7.87567E-01 8.94252E-01 9.73371E-01 9.92203E-01 
3.30698E-01 3.42580E-01 3.73568E-01 4.35540E-01 4.99662E-01 5.47160E-01 6.04466E-01 7.73952E-01 8.88416E-01 9.73225E-01 9.93443E-01 
3.05204E-01 3.15607E-01 3.43725E-01 4.00859E-01 4.57585E-01 4.98387E-01 5.46664E-01 7.04432E-01 8.37170E-01 9.70071E-01 9.98089E-01 
2.92115E-01 2.99306E-01 3.28192E-01 3.82933E-01 4.40494E-01 4.73556E-01 5.19568E-01 6.65480E-01 7.96155E-01 9.60705E-01 9.99117E-01 
2.71208E-01 2.80079E-01 3.07753E-01 3.59446E-01 4.12906E-01 4.44907E-01 4.87482E-01 6.13115E-01 7.36548E-01 9.37793E-01 9.99736E-01 
2.57227E-01 2.65125E-01 2.90707E-01 3.43125E-01 3.94967E-01 4.26069E-01 4.69293E-01 5.87559E-01 6.99005E-01 9.14219E-01 9.99869E-01 
2.38617E-01 2.49613E-01 2.75821E-01 3.24192E-01 3.75665E-01 4.06393E-01 4.46907E-01 5.62218E-01 6.62104E-01 8.78532E-01 9.99946E-01 
2.30192E-01 2.39075E-01 2.64403E-01 3.13956E-01 3.64704E-01 3.97601E-01 4.37490E-01 5.47058E-01 6.43758E-01 8.57951E-01 9.99966E-01 
2.19311E-01 2.26693E-01 2.52637E-01 3.00160E-01 3.49236E-01 3.84697E-01 4.21841E-01 5.31684E-01 6.23304E-01 8.31395E-01 9.99977E-01 
2.11720E-01 2.19353E-01 2.47965E-01 2.95982E-01 3.46632E-01 3.75102E-01 4.16836E-01 5.23642E-01 6.11237E-01 8.15428E-01 9.99982E-01 
1.99906E-01 2.09483E-01 2.35536E-01 2.84408E-01 3.33385E-01 3.66471E-01 4.04892E-01 5.10093E-01 5.99303E-01 7.95275E-01 9.99988E-01 
