# #Flux of atoms impinging on target(s-1m-2)
-2.829741713749759149e-02	3.223508999999999862e+22
-2.754418117243586164e-02	1.512006999999999954e+22
-2.604750431866531893e-02	1.621143000000000059e+22
-2.454482640620982842e-02	2.032317000000000020e+22
-2.303519878925846046e-02	2.398245000000000177e+22
-2.151423524245453869e-02	2.620853000000000072e+22
-1.998750872664938061e-02	2.845085999999999803e+22
-1.845245000745293976e-02	2.972626999999999875e+22
-1.690400470108503056e-02	3.222673999999999882e+22
-1.534913425967763916e-02	3.939144000000000367e+22
-1.378587495932950997e-02	4.681629999999999803e+22
-1.220858545844319930e-02	4.761905999999999672e+22
-1.062421728886807012e-02	5.968043000000000138e+22
-9.030683883552589886e-03	7.102826000000000144e+22
-7.419809446862681707e-03	7.884249999999999410e+22
-5.798316750575534424e-03	8.580097000000000413e+22
-4.162449918080973581e-03	9.640288999999999784e+22
-2.502091885771023927e-03	9.947414999999999430e+22
-7.933080680733728407e-04	1.027877000000000009e+23
7.933080680733763101e-04	1.070202999999999949e+23
2.520163960515682793e-03	8.879086999999999692e+22
4.797452263993252398e-03	7.827207999999999948e+22
7.567178417047536187e-03	6.111200000000000210e+22
1.078086832699720957e-02	4.350261999999999646e+22
1.438179911263615975e-02	2.694594999999999980e+22
1.831031928558060975e-02	1.734990999999999902e+22
2.251162048530805024e-02	1.163376000000000105e+22
2.692686280267993920e-02	7.798500999999999967e+21
3.149235487654918064e-02	6.025388000000000131e+21
3.613901245115325872e-02	4.613671000000000164e+21
4.079185018335040186e-02	3.963654000000000066e+21
4.536955170962214678e-02	2.958534000000000066e+21
4.978655961177790717e-02	2.117070000000000066e+21
5.395327277854516240e-02	2.035699000000000033e+21
5.777180821190339849e-02	2.632098000000000197e+21
6.113272979698247678e-02	1.796422999999999902e+21
6.392965628452301763e-02	1.769932000000000131e+21
6.518739440953413844e-02	-6.421558999999999640e+21
