# #Flux of atoms impinging on target(s-1m-2)
-2.059531470841219000e-02	2.071734000000000066e+21
-1.999373578588834952e-02	8.312367999999999685e+22
-1.880480322831831058e-02	1.733340000000000026e+22
-1.762213261892925029e-02	1.586830999999999902e+22
-1.644423755778750065e-02	1.845166999999999902e+22
-1.527000847847367025e-02	2.120051000000000085e+22
-1.410108152543875989e-02	2.695752999999999941e+22
-1.293845153898304061e-02	3.210146000000000197e+22
-1.178165640993839025e-02	3.015117999999999908e+22
-1.062893129629459942e-02	3.553278000000000013e+22
-9.481150832189370187e-03	4.412433000000000308e+22
-8.338828811582954872e-03	5.265856000000000419e+22
-7.200351211309375180e-03	5.296762000000000039e+22
-6.066502676836977616e-03	6.409523999999999659e+22
-4.939377935223837612e-03	7.705325999999999279e+22
-3.817894253727676952e-03	9.982861999999999908e+22
-2.702520582561152018e-03	1.097349000000000051e+23
-1.594737107937171938e-03	1.573985000000000119e+23
-5.161358024813947343e-04	1.657801999999999851e+23
5.161358024813912648e-04	1.829305999999999955e+23
1.731185258151850042e-03	1.982331000000000117e+23
3.297936050327121820e-03	2.511122000000000050e+23
5.168347978860340225e-03	2.858702000000000160e+23
7.291038060855559860e-03	3.013972000000000121e+23
9.621742376126927315e-03	2.915816999999999899e+23
1.210992438349687075e-02	2.826632999999999857e+23
1.470657860251120032e-02	2.202222000000000118e+23
1.736778150217080027e-02	1.750123999999999963e+23
2.004861803206687068e-02	1.312556000000000047e+23
2.270652394690144890e-02	1.094913000000000077e+23
2.529953332595893944e-02	8.228499000000000295e+22
2.778635772977447113e-02	7.008458000000000354e+22
3.012625764251257096e-02	5.925651000000000295e+22
3.227644879825337931e-02	5.192272000000000315e+22
3.419788859185184104e-02	4.753793999999999987e+22
3.585676736217013882e-02	4.459766999999999640e+22
3.721285789302741787e-02	4.060333000000000125e+22
3.781515607192761225e-02	3.826648999999999836e+22
