# Electric potential (V)/(m) (d/dy)  
          -1          -1           0  -2.46942611487539     
           0          -1           0  -3.26894222956493     
           1          -1           0  -2.96034425039190     
           2          -1           0  -2.61612275601599     
           3          -1           0  -2.32555409185631     
           4          -1           0  -2.08278943163013     
           5          -1           0  -1.86349768250921     
           6          -1           0  -1.66996579963071     
           7          -1           0  -1.49896032797859     
           8          -1           0  -1.32948686353696     
           9          -1           0  -1.15186504040135     
          10          -1           0 -0.962042621192887     
          11          -1           0 -0.782872003423572     
          12          -1           0 -0.641401514658039     
          13          -1           0 -0.563366193463941     
          14          -1           0 -0.563314073326505     
          15          -1           0 -0.625251159605714     
          16          -1           0 -0.742209984076251     
          17          -1           0 -0.900528029545683     
          18          -1           0  -1.14815104271609     
          19          -1           0  -1.53683293076743     
          20          -1           0  -1.99999114653788     
          21          -1           0  -1.85940509285380     
          22          -1           0 -0.343926595828336     
          23          -1           0   2.49118602480534     
          24          -1           0  -728.791582272792     
          25          -1           0  -751.004554610678     
          26          -1           0  -736.483473439630     
          27          -1           0  -667.230462545131     
          28          -1           0  -554.622456695952     
          29          -1           0  -423.945753116366     
          30          -1           0  -310.850171283526     
          31          -1           0  -223.898148809625     
          32          -1           0  -173.273346609396     
          33          -1           0  -162.787853742115     
          34          -1           0  -188.423329197005     
          35          -1           0  -245.718585870455     
          36          -1           0  -326.250067858337     
          37          -1           0  -416.955384825251     
          38          -1           0  -502.603608428672     
          39          -1           0  -567.149928389443     
          40          -1           0  -597.423328429714     
          41          -1           0  -588.348489488794     
          42          -1           0  -543.672119284042     
          43          -1           0  -451.400094231965     
          44          -1           0  -306.830639972414     
          45          -1           0  -130.309725756949     
          46          -1           0   47.5816493397397     
          47          -1           0   213.365421777507     
          48          -1           0   341.447335098284     
          49          -1           0   421.690628644997     
          50          -1           0   448.377383942562     
          51          -1           0   427.741372845784     
          52          -1           0   374.257958254861     
          53          -1           0   305.096400052000     
          54          -1           0   236.750265081061     
          55          -1           0   199.200608424638     
          56          -1           0   204.888691580418     
          57          -1           0   247.157033982485     
          58          -1           0   318.989395432264     
          59          -1           0   404.026783511851     
          60          -1           0   475.007949011172     
          61          -1           0   510.034089019585     
          62          -1           0   490.170783787921     
          63          -1           0   410.338450403216     
          64          -1           0   273.336670404790     
          65          -1           0   88.8406288187513     
          66          -1           0  -129.880905139401     
          67          -1           0  -361.662174854945     
          68          -1           0  -559.294617130022     
          69          -1           0  -686.553548374361     
          70          -1           0  -733.623890247855     
          71          -1           0  -727.058263867781     
          72          -1           0 -0.409591264129950     
          73          -1           0  -1.27192871865618     
          74          -1           0  -1.26067190816277     
          75          -1           0  -1.35552531278924     
          76          -1           0  -1.43526734501906     
          77          -1           0  -1.43941644064406     
          78          -1           0  -1.40755525096439     
          79          -1           0  -1.36128616382013     
          80          -1           0  -1.47991335195412     
          81          -1           0  -1.68167218108179     
          82          -1           0  -1.74272254217623     
          83          -1           0  -1.75530368253586     
          84          -1           0  -1.84106996284087     
          85          -1           0  -1.94400342655102     
          86          -1           0  -1.86091215461748     
          87          -1           0  -2.07278064740548     
          88          -1           0  -2.30265814906904     
          89          -1           0  -2.54396198732163     
          90          -1           0  -2.80787324933619     
          91          -1           0  -3.09958192476779     
          92          -1           0  -3.19287046435017     
          93          -1           0  -3.33908368148437     
          94          -1           0  -3.76369517121280     
          95          -1           0  -4.30900626411228     
          96          -1           0  -2.33661363112418     
          -1           0           0   5.67536399333860     
           0           0           0   5.44253345721754     
           1           0           0   1.12972874482095     
           2           0           0  -1.76222139908491     
           3           0           0  -2.89776869407457     
           4           0           0  -2.77536718392516     
           5           0           0  -2.72039638900834     
           6           0           0  -2.69310199326240     
           7           0           0  -2.76736343213970     
           8           0           0  -2.92569802917775     
           9           0           0  -2.86903094358273     
          10           0           0  -1.53746407843578     
          11           0           0  0.557922351519662     
          12           0           0   1.84237771076779     
          13           0           0   2.57561618924941     
          14           0           0   2.99921040502334     
          15           0           0   3.28322191985369     
          16           0           0   3.54616021414799     
          17           0           0   3.91480438473584     
          18           0           0   4.61488585112617     
          19           0           0   6.15993268089051     
          20           0           0   9.17940376475338     
          21           0           0   9.23237440459233     
          22           0           0   5.75699069946963     
          23           0           0   2.18455571587959     
          24           0           0  -264.679784242238     
          25           0           0  -276.308437613702     
          26           0           0  -284.304993686478     
          27           0           0  -280.313143665678     
          28           0           0  -262.141003370680     
          29           0           0  -234.730816097584     
          30           0           0  -208.906771562252     
          31           0           0  -187.846904701920     
          32           0           0  -174.336627332822     
          33           0           0  -170.535689005887     
          34           0           0  -175.974985356172     
          35           0           0  -188.727170462640     
          36           0           0  -205.623135749693     
          37           0           0  -223.606565538190     
          38           0           0  -237.445865041809     
          39           0           0  -246.041660187573     
          40           0           0  -244.789461755247     
          41           0           0  -236.208334492180     
          42           0           0  -220.420142305918     
          43           0           0  -190.890723144115     
          44           0           0  -141.775289997100     
          45           0           0  -77.3364587624962     
          46           0           0  -6.08392450328813     
          47           0           0   63.9090146845740     
          48           0           0   123.567569215125     
