# Electric potential (V)/(m) (d/dx)  
           4           1           0   35.9736667804863     
           5           1           0   29.4697033733774     
           6           1           0   22.4167642267212     
           7           1           0   16.3477783111208     
           8           1           0   12.9578686265922     
           9           1           0   9.46163681714960     
          10           1           0   3.59301352663562     
          11           1           0  0.317803527922205     
          12           1           0  -1.53682237666698     
          13           1           0  -5.14895569459527     
          14           1           0  -7.78746858431920     
          15           1           0  -8.76605046609002     
          16           1           0  -9.58218969364601     
          17           1           0  -11.8383185666249     
          18           1           0  -13.0882960766603     
          19           1           0  -12.4201051300431     
          20           1           0  -12.3500404643135     
          21           1           0  -10.0487251426137     
          22           1           0  -7.97787245445319     
          23           1           0  -5.35378849160804     
          24           1           0 -0.595254453929874     
          25           1           0 -0.465696207434695     
          26           1           0 -0.380100219842069     
          27           1           0 -0.200245006499195     
          28           1           0 -2.103296980516826E-002
          29           1           0 -6.878196678013550E-002
          30           1           0 -0.116293987141501     
          31           1           0 -0.146277440886532     
          32           1           0 -0.209782875787561     
          33           1           0 -0.220855759572104     
          34           1           0 -0.306043064434868     
          35           1           0 -0.355414914970100     
          36           1           0 -0.297673828997128     
          37           1           0 -0.245045222013203     
          38           1           0 -0.232147401448362     
          39           1           0 -9.646057622941306E-002
          40           1           0  0.173340085074267     
          41           1           0  0.345587635023907     
          42           1           0  0.393745951455515     
          43           1           0  0.506888125720735     
          44           1           0  0.646382087001961     
          45           1           0  0.678314570772478     
          46           1           0  0.597140781714760     
          47           1           0  0.509314478932102     
          48           1           0  0.445904483563865     
          49           1           0  0.406519927657392     
          50           1           0  0.345598426340100     
          51           1           0  0.300338591618728     
          52           1           0  0.322488799687634     
          53           1           0  0.326275624181554     
          54           1           0  0.316869958218567     
          55           1           0  0.313770299169474     
          56           1           0  0.306356188440533     
          57           1           0  0.242677371921830     
          58           1           0  0.129665043796376     
          59           1           0  9.004841560438705E-002
          60           1           0  8.859809774483549E-002
          61           1           0  4.487260949599198E-002
          62           1           0  2.881581111742823E-002
          63           1           0 -5.044438515282168E-002
          64           1           0 -0.183904932035251     
          65           1           0 -0.335165688501540     
          66           1           0 -0.565763661735474     
          67           1           0 -0.711740015057864     
          68           1           0 -0.724526742230613     
          69           1           0 -0.780361129828231     
          70           1           0 -0.876042384607260     
          71           1           0 -0.864761882682405     
          72           1           0  -1.37991302367391     
          73           1           0   2.51931107059265     
          74           1           0   6.04881706103022     
          75           1           0   7.34119578385562     
          76           1           0   7.55094191008077     
          77           1           0   6.72193092552256     
          78           1           0   5.40275303640560     
          79           1           0   4.41746623513365     
          80           1           0   3.54995369810884     
          81           1           0   2.66295736953966     
          82           1           0   1.56707125812970     
          83           1           0  0.701865489759725     
          84           1           0 -0.665166168644188     
          85           1           0  -3.16638198403214     
          86           1           0  -4.91802919863924     
          87           1           0  -6.68928816421195     
          88           1           0  -10.1446602313957     
          89           1           0  -13.9498533993372     
          90           1           0  -17.7614697996501     
          91           1           0  -22.5510701145583     
          92           1           0  -27.7093015860225     
          93           1           0  -34.5884376509158     
          94           1           0  -52.5523411989795     
          95           1           0  -75.7655289940947     
          96           1           0  -94.8403246726616     
          -1           2           0   119.037031642692     
           0           2           0   109.606271633771     
           1           2           0   88.9387677967257     
           2           2           0   64.5221769516713     
           3           2           0   49.8191409587416     
           4           2           0   39.3085313172114     
           5           2           0   31.0891796578877     
           6           2           0   23.4364187030729     
           7           2           0   17.4848842737243     
           8           2           0   12.5859323797182     
           9           2           0   8.26689629296069     
          10           2           0   4.41423895183307     
          11           2           0  4.225924367113852E-002
          12           2           0  -3.97059390032261     
          13           2           0  -6.51354382421023     
          14           2           0  -7.43497120042764     
          15           2           0  -8.23284040159631     
          16           2           0  -10.2291267386695     
          17           2           0  -12.0729555389571     
          18           2           0  -11.9057227860219     
          19           2           0  -12.0732385698282     
          20           2           0  -11.8437884124183     
          21           2           0  -10.2057112755371     
          22           2           0  -9.04430802520829     
          23           2           0  -5.96606985916933     
          24           2           0 -0.354431347802818     
