# Radial particle flux (s@S@-1@N@)  D^{0}
          -1          -1           0 -1.846020985127272E+016
           0          -1           0 -1.847518790400079E+018
           1          -1           0 -1.968741399700059E+018
           2          -1           0 -2.517907069215000E+018
           3          -1           0 -3.208975258505494E+018
           4          -1           0 -2.799668931910966E+018
           5          -1           0 -3.113506329536165E+018
           6          -1           0 -3.335589628740435E+018
           7          -1           0 -4.015668147802865E+018
           8          -1           0 -3.644986320300143E+018
           9          -1           0 -3.612591998612227E+018
          10          -1           0 -4.628787794386259E+018
          11          -1           0 -5.697367795094273E+018
          12          -1           0 -6.407025610323824E+018
          13          -1           0 -5.819983635140285E+018
          14          -1           0 -3.907784747615153E+018
          15          -1           0 -2.386482280685665E+018
          16          -1           0 -2.579527054240742E+018
          17          -1           0 -2.188903133137835E+018
          18          -1           0 -3.006838126892461E+018
          19          -1           0 -7.832042411780274E+018
          20          -1           0 -6.354652390659237E+018
          21          -1           0 -6.496674428965225E+018
          22          -1           0 -8.797661365525887E+018
          23          -1           0 -9.337609291812952E+018
          24          -1           0 -2.436195378747108E+018
          25          -1           0 -9.373978635933886E+018
          26          -1           0 -1.437704552395389E+019
          27          -1           0 -1.653281775839002E+019
          28          -1           0 -1.290885864772694E+019
          29          -1           0 -1.057898289712976E+019
          30          -1           0 -1.129159114312984E+019
          31          -1           0 -9.020678999782995E+018
          32          -1           0 -9.967980589145336E+018
          33          -1           0 -7.519277693401954E+018
          34          -1           0 -7.349016432889656E+018
          35          -1           0 -7.500521159484882E+018
          36          -1           0 -9.079572215454637E+018
          37          -1           0 -3.404622961113292E+018
          38          -1           0 -6.654948546526156E+018
          39          -1           0 -5.522647118836566E+018
          40          -1           0 -3.764796301778583E+018
          41          -1           0 -2.271682732835611E+018
          42          -1           0 -9.196389996158845E+018
          43          -1           0 -7.420462468634442E+018
          44          -1           0 -2.547432449074661E+019
          45          -1           0 -1.758562122115526E+019
          46          -1           0 -1.692322386212410E+019
          47          -1           0 -2.352033827610963E+019
          48          -1           0 -2.363172927242789E+019
          49          -1           0 -4.253758661074061E+019
          50          -1           0 -4.387430961674823E+019
          51          -1           0 -5.030824544364473E+019
          52          -1           0 -4.770783758507220E+019
          53          -1           0 -5.342621311777074E+019
          54          -1           0 -4.384928834600654E+019
          55          -1           0 -5.482939570123132E+019
          56          -1           0 -4.021053421937125E+019
          57          -1           0 -7.667105694406405E+019
          58          -1           0 -7.175813506981003E+019
          59          -1           0 -9.271300664531134E+019
          60          -1           0 -7.539844364891513E+019
          61          -1           0 -8.881873738588796E+019
          62          -1           0 -1.016912689502940E+020
          63          -1           0 -9.881114573765480E+019
          64          -1           0 -8.607978610245003E+019
          65          -1           0 -8.094778532085984E+019
          66          -1           0 -6.822581777358057E+019
          67          -1           0 -5.800037576761702E+019
          68          -1           0 -4.037153755576750E+019
          69          -1           0 -2.484809052537959E+019
          70          -1           0 -1.241548729384772E+019
          71          -1           0 -3.070536712404302E+018
          72          -1           0 -1.336078064071816E+019
          73          -1           0 -1.793487995143688E+019
          74          -1           0 -1.719628154817527E+019
          75          -1           0 -1.782463261988489E+019
          76          -1           0 -2.114671018792334E+019
          77          -1           0 -2.855775081147269E+019
          78          -1           0 -3.452207766566681E+019
          79          -1           0 -2.853754174639281E+019
          80          -1           0 -2.586814956169995E+019
          81          -1           0 -2.302701680552184E+019
          82          -1           0 -1.836512614493232E+019
          83          -1           0 -1.641869238632066E+019
          84          -1           0 -1.469892207459505E+019
          85          -1           0 -1.080879272032676E+019
          86          -1           0 -9.059185925992770E+018
          87          -1           0 -1.084371359389789E+019
          88          -1           0 -7.951093518003239E+018
          89          -1           0 -6.255247219169364E+018
          90          -1           0 -1.067147069368356E+019
          91          -1           0 -1.118082964414892E+019
          92          -1           0 -7.538489549385544E+018
          93          -1           0 -7.858840314512897E+018
          94          -1           0 -8.363186906306012E+018
          95          -1           0 -7.755244206627928E+018
          96          -1           0 -7.757842151830382E+016
          -1           0           0 -1.879489435904424E+016
           0           0           0 -1.880687151339344E+018
