# Electric potential (V)/(m) (d/dy)  
          -1          -1           0  -1.54177304460233     
           0          -1           0  -1.51973801679168     
           1          -1           0  -1.40056323979272     
           2          -1           0  -1.35308427642942     
           3          -1           0  -1.28005926427047     
           4          -1           0  -1.17885010132346     
           5          -1           0  -1.06400606098729     
           6          -1           0 -0.925959510863727     
           7          -1           0 -0.830014012625987     
           8          -1           0 -0.754140419268360     
           9          -1           0 -0.697613981565421     
          10          -1           0 -0.658585918586505     
          11          -1           0 -0.650629317700136     
          12          -1           0 -0.664266112120533     
          13          -1           0 -0.563155973942799     
          14          -1           0 -0.376120876663571     
          15          -1           0 -0.305996304553142     
          16          -1           0 -0.295735600681728     
          17          -1           0 -0.269584830139459     
          18          -1           0 -6.321826323137061E-002
          19          -1           0  0.287584597756395     
          20          -1           0  0.483783465704765     
          21          -1           0  0.504966710161277     
          22          -1           0  0.397482335052484     
          23          -1           0  0.428384838114372     
          24          -1           0  -864.924698555990     
          25          -1           0  -903.247097545930     
          26          -1           0  -932.907360348061     
          27          -1           0  -908.335543797111     
          28          -1           0  -809.709069480567     
          29          -1           0  -662.910985445898     
          30          -1           0  -524.191013219974     
          31          -1           0  -409.356035075329     
          32          -1           0  -338.733077297127     
          33          -1           0  -320.889741802476     
          34          -1           0  -351.494412098291     
          35          -1           0  -420.521548128176     
          36          -1           0  -517.332654375298     
          37          -1           0  -621.454749176183     
          38          -1           0  -706.392572509246     
          39          -1           0  -754.343809378354     
          40          -1           0  -757.649974934135     
          41          -1           0  -736.626123165478     
          42          -1           0  -685.035512509039     
          43          -1           0  -586.270356307475     
          44          -1           0  -419.014592697670     
          45          -1           0  -203.342177862369     
          46          -1           0   28.4582753421000     
          47          -1           0   251.546608104973     
          48          -1           0   431.801513873195     
          49          -1           0   545.519932774083     
          50          -1           0   592.381299059090     
          51          -1           0   578.225222193893     
          52          -1           0   519.661645980016     
          53          -1           0   441.118447527160     
          54          -1           0   370.077724434474     
          55          -1           0   331.609967420127     
          56          -1           0   340.587988672027     
          57          -1           0   393.385118818038     
          58          -1           0   481.433837262252     
          59          -1           0   579.859563044491     
          60          -1           0   664.662051514629     
          61          -1           0   702.175811480517     
          62          -1           0   666.469916759177     
          63          -1           0   549.631872221378     
          64          -1           0   353.277522685496     
          65          -1           0   92.9377686892456     
          66          -1           0  -205.282574523071     
          67          -1           0  -492.351290736120     
          68          -1           0  -716.687475902927     
          69          -1           0  -836.010723813667     
          70          -1           0  -866.552251883045     
          71          -1           0  -859.211915508812     
          72          -1           0  0.562354667370492     
          73          -1           0  0.455950161270940     
          74          -1           0  0.401811332459607     
          75          -1           0  0.324649571539574     
          76          -1           0  0.240668080828705     
          77          -1           0  0.249381117085615     
          78          -1           0  0.282445526947313     
          79          -1           0  0.276878817824288     
          80          -1           0  0.174900524333706     
          81          -1           0  9.238390900739897E-002
          82          -1           0  7.202030764741602E-002
          83          -1           0  3.789904048180959E-002
          84          -1           0 -4.248526600718806E-002
          85          -1           0 -0.116721141230505     
          86          -1           0 -4.738650433332558E-002
          87          -1           0 -0.191521455262034     
          88          -1           0 -0.345876693248101     
          89          -1           0 -0.509413729878374     
          90          -1           0 -0.693806649731007     
          91          -1           0 -0.902474232476761     
          92          -1           0 -0.985593565630267     
          93          -1           0  -1.13170930284517     
          94          -1           0  -1.53551162781491     
          95          -1           0  -2.13882432573151     
          96          -1           0  -2.08322112720852     
          -1           0           0  -1.46735095525698     
           0           0           0  -1.44460717134980     
           1           0           0  0.951030898780851     
           2           0           0   2.24765898145018     
           3           0           0   1.78544339597049     
           4           0           0  0.293925546250310     
           5           0           0  -1.44132912067685     
           6           0           0  -3.62597397614569     
           7           0           0  -3.54920576616958     
           8           0           0  -2.21271900712319     
           9           0           0  -1.38816739531340     
          10           0           0  0.258523120319662     
          11           0           0   1.78212959271710     
          12           0           0   2.64416585559764     
          13           0           0   1.84898657728116     
          14           0           0  0.103151107454009     
          15           0           0 -0.322421766119619     
          16           0           0 -0.268474496506330     
