# Poloidal particle flux (s@S@-1@N@)/(m@S@2@N@) <ix = 68> D@S@0@N@
 -8.298112780275070E-002 -4.269613218396527E+018
 -7.999892189898374E-002 -4.269061769793907E+018
 -7.402507453420271E-002 -7.497591065374924E+018
 -6.791055227984956E-002 -9.546776861922124E+018
 -6.174981440842336E-002 -5.551044033890186E+018
 -5.567201849664687E-002 -3.182898144255561E+018
 -4.966013964668400E-002 -6.143917732142210E+018
 -4.368482245665926E-002 -1.669467562241334E+019
 -3.787090370325263E-002 -1.785670786655418E+019
 -3.234477536458003E-002 -2.815117526079149E+019
 -2.707852906152587E-002 -3.373435983151525E+019
 -2.210072347037286E-002 -4.386911475186316E+019
 -1.747820759134057E-002 -5.023347823398987E+019
 -1.327923675318496E-002 -5.489589653632854E+019
 -9.594947495128459E-003 -6.036370039126952E+019
 -6.427617069762359E-003 -6.400974458069008E+019
 -3.801140091505575E-003 -7.441336257985213E+019
 -1.797546034064623E-003 -8.764457019698422E+019
 -4.817563879182252E-004 -9.218005956269656E+019
  9.693199513713391E-005 -8.069136166101910E+019
  6.344180429212753E-004 -8.027036595161906E+019
  1.784931623526026E-003 -8.947822226814347E+019
  3.439112882887951E-003 -9.094593907015764E+019
  5.527572306902998E-003 -8.562466265918289E+019
  7.979018536449209E-003 -1.034092354413707E+020
  1.072761457948287E-002 -1.139914739648611E+020
  1.374059398868285E-002 -1.174323419770927E+020
  1.695065049672913E-002 -1.272138823307325E+020
  2.029238053783428E-002 -1.284044094313285E+020
  2.371545283653860E-002 -1.528070587253640E+020
  2.712823928408599E-002 -1.724010054710465E+020
  3.046318000102995E-002 -1.568274847672732E+020
  3.366742676376717E-002 -1.761009525743807E+020
  3.668792758009935E-002 -1.674860397557826E+020
  3.947675505445114E-002 -1.765812328567088E+020
  4.199357014178487E-002 -1.886490431474190E+020
  4.420516372673261E-002 -1.824432622542500E+020
  4.524334302749178E-002 -1.827408591006543E+020
# Poloidal particle flux (s@S@-1@N@)/(m@S@2@N@) <ix = 68> D@S@+1@N@
