# Special <ix = -1>
 -2.763493722132500E-002  0.000000000000000E+000
 -2.689076635196357E-002  2.058056661365900E+020
 -2.541784959503192E-002  2.314285084491700E+020
 -2.394440031549894E-002  2.648049666217300E+020
 -2.245902356563881E-002  3.101174556776700E+020
 -2.096350680853401E-002  3.586598778224500E+020
 -1.946887753116082E-002  4.195846540383200E+020
 -1.796118828063125E-002  5.023937759009800E+020
 -1.644054652987059E-002  5.946321864040400E+020
 -1.492039977094186E-002  7.050814496588600E+020
 -1.338795555243630E-002  8.564032882999900E+020
 -1.184302293495344E-002  1.018648945472100E+021
 -1.029830153793506E-002  1.203773655602000E+021
 -8.741200871919565E-003  1.452399720736900E+021
 -7.169765108656370E-003  1.731670632538900E+021
 -5.596391782924343E-003  2.054043265613100E+021
 -4.009285715665004E-003  2.468168655623700E+021
 -2.407231793499862E-003  2.911449443739400E+021
 -8.027186780715442E-004  3.424970523099200E+021
  7.222482027063638E-004  3.481475117205300E+021
  2.445727663856482E-003  5.483060523552700E+021
  4.705028124355796E-003  7.322837036876300E+021
  7.448756847466896E-003  8.066994532046600E+021
  1.062892123894494E-002  7.261691734407000E+021
  1.419191372374710E-002  5.689792351637000E+021
  1.807690669065985E-002  4.001232755602800E+021
  2.222966506509995E-002  2.675754731934400E+021
  2.659237875228051E-002  1.808607185717000E+021
  3.110208014362341E-002  1.252120382171400E+021
  3.569070415039962E-002  9.126148141071400E+020
  4.028434566690176E-002  6.956176126659200E+020
  4.480240081374449E-002  5.392064228468600E+020
  4.916212234554631E-002  4.167996249863300E+020
  5.327443888981451E-002  3.162569350084900E+020
  5.704014173954997E-002  2.283689663574900E+020
  6.035151553084311E-002  1.564474752164100E+020
  6.310748000134161E-002  9.986394364318800E+019
  6.434766180578094E-002  0.000000000000000E+000
